티커,종가,시가총액,거래량,거래대금,상장주식수,date
282880,24550,239371657150,43308,1065096200,9750373,20230131
045390,3390,238904748030,455216,1537820120,70473377,20230131
110790,20300,237824244000,14318,289813450,11715480,20230131
044340,13300,237716552500,68858,907780470,17873425,20230131
054950,19650,237566377800,66283,1312300970,12089892,20230131
091580,17400,237131010600,638739,11099904920,13628219,20230131
149950,15170,236765775000,38131,584741730,15607500,20230131
160550,8450,235806595700,589422,5020506720,27906106,20230131
032300,21600,235584741600,18063,388338450,10906701,20230131
114190,9010,235368572380,994013,8767416890,26123038,20230131
314130,16690,235187485490,36364,605761760,14091521,20230131
388720,27300,234257095800,862300,23853075700,8580846,20230131
089030,6270,234207354150,138581,862540030,37353645,20230131
121800,4010,233754681380,1991064,8042209980,58292938,20230131
023760,740,233551086240,166800,123070878,315609576,20230131
252990,4655,233466153130,235280,1084821485,50153846,20230131
083310,13100,233311432300,59833,783475230,17810033,20230131
038290,21500,233090100000,32199,693263250,10841400,20230131
297090,8630,233010000000,223409,1926728420,27000000,20230131
084650,6840,232502701320,326093,2246001790,33991623,20230131
005160,4275,231895160550,500534,2146144640,54244482,20230131
115960,18680,231594640000,86022,1625728170,12398000,20230131
056080,6170,231449977840,2471018,15496220610,37512152,20230131
046440,5930,230235618240,99721,588745070,38825568,20230131
241840,24050,229436855700,133932,3213271050,9539994,20230131
318020,18100,229187123200,0,0,12662272,20230131
263050,6230,229032586650,305809,1920819370,36762855,20230131
126340,41800,228573351600,23108,962150500,5468262,20230131
051370,9760,227676126720,57919,566073800,23327472,20230131
065350,8270,227292249960,88779,735806060,27483948,20230131
399720,19770,227124086400,1644117,32350273960,11488320,20230131
251370,13890,226607904960,27446,379022350,16314464,20230131
225530,6230,226390269210,50755,315345030,36338727,20230131
109860,24700,224770000000,31831,775139450,9100000,20230131
083930,14560,224410338880,157171,2302109150,15412798,20230131
092190,5860,223990606580,45816,268385520,38223653,20230131
150840,5850,223669017000,0,0,38234020,20230131
114810,7600,223076522400,55277,418902250,29352174,20230131
234340,23550,222618150000,20700,490179550,9453000,20230131
067280,37550,222550551450,8991,340810100,5926779,20230131
180400,7740,222082929900,0,0,28692885,20230131
042600,17800,221139617200,22581,402097130,12423574,20230131
086890,6660,220996568880,106880,714113200,33182668,20230131
089010,14810,220049305170,36751,543852810,14858157,20230131
032820,1460,219912651840,1139771,1647690553,150625104,20230131
125210,13270,218912403300,117691,1557891760,16496790,20230131
288330,11000,218860675000,77402,859944020,19896425,20230131
121440,5090,218039403620,80910,410365900,42836818,20230131
389500,35300,217974111200,4978203,175026487950,6174904,20230131
371950,10350,217769050800,129622,1331599330,21040488,20230131
053580,15780,217546993440,21188,334925750,13786248,20230131
216050,16890,216922019580,203819,3421684960,12843222,20230131
025320,2875,216797726875,641003,1842909510,75407905,20230131
010170,2915,216609729325,737307,2153257190,74308655,20230131
220100,9800,216601119000,90385,884622900,22102155,20230131
270660,17760,216518233920,1498577,26920867740,12191342,20230131
064290,16900,215592657800,63226,1075271030,12756962,20230131
301300,38500,215445230000,572747,22374029200,5595980,20230131
192440,34650,215396977950,2611,90668450,6216363,20230131
049180,5150,215248534800,433165,2256813900,41795832,20230131
018000,1754,214423032342,210839,370131781,122248023,20230131
273640,19500,213837000000,108090,2118515200,10966000,20230131
220260,8000,212466456000,199630,1596140070,26558307,20230131
006910,4320,212240839680,1513597,6534295205,49129824,20230131
096240,18310,211366318840,49440,904658710,11543764,20230131
297890,12600,210673171800,46950,592089070,16720093,20230131
051160,13600,210452248000,658206,8918144030,15474430,20230131
950170,4185,209639305440,50458,212324770,50093024,20230131
019210,6800,207901969200,82489,558648460,30573819,20230131
049950,24150,207371703000,985988,22966230700,8586820,20230131
052260,13800,207000000000,33424,459336130,15000000,20230131
083450,22200,206853939000,31511,702679500,9317745,20230131
057880,1740,206724832500,0,0,118807375,20230131
036630,765,206550000000,2537991,1984647848,270000000,20230131
048910,16410,206420503860,186982,3073418960,12578946,20230131
058970,18410,206415129200,254109,4569986140,11212120,20230131
251970,16590,205716000000,12314,203563700,12400000,20230131
012700,7750,204957546250,54882,424718260,26446135,20230131
088390,21800,204611399200,32355,700338600,9385844,20230131
033340,2110,204565677380,0,0,96950558,20230131
228850,12320,204401292480,22277,274735150,16591014,20230131
138080,19170,203663901150,77865,1493056040,10624095,20230131
122990,7160,201818497560,43259,308636860,28186941,20230131
039440,12730,201515900000,69762,894446570,15830000,20230131
194700,10710,200864422080,184113,1995892020,18754848,20230131
144960,4580,200112217920,62448,284350800,43692624,20230131
228760,9500,199748938000,18231,172494490,21026204,20230131
036200,6510,199624091730,60759,397168740,30664223,20230131
027710,1789,199324297400,734992,1322780148,111416600,20230131
060570,3505,199293763735,646071,2390790205,56859847,20230131
078350,13010,198329409820,92358,1207674880,15244382,20230131
214870,6120,198072110880,26870610,171587040840,32364724,20230131
019550,1221,197883288075,679091,834702663,162066575,20230131
092130,16430,197876348000,9409,154200040,12043600,20230131
038880,667,196611023050,654057,435428289,294769150,20230131
018290,5700,196558190100,118936,676478950,34483893,20230131
123040,4495,196197067770,112630,505547180,43647846,20230131
044490,9800,196072333800,30878,303293740,20007381,20230131
094820,12950,195269281550,68803,890304920,15078709,20230131
200710,14610,194814517470,95387,1398666890,13334327,20230131
334970,3180,194323341420,265938,841164680,61107969,20230131
